Timestamp,SSIM,B_Var,R_Var,Noise_Max,Contact_Area,Predicted_Label,Confidence
1785393272.696,0.9947,966.5,1040.1,3,0,IDLE,0.00
1785393273.827,0.9946,967.0,1039.7,4,2,IDLE,0.00
1785393273.936,0.9946,967.0,1039.7,4,2,IDLE,0.00
1785393274.001,0.9946,967.0,1039.7,4,2,IDLE,0.00
1785393275.144,0.9947,967.1,1037.9,3,0,IDLE,0.00
1785393275.256,0.9947,967.1,1037.9,3,0,IDLE,0.00
1785393275.312,0.9947,967.1,1037.9,3,0,IDLE,0.00
1785393276.507,0.9947,963.0,1035.3,3,0,IDLE,0.00
1785393276.625,0.9947,963.0,1035.3,3,0,IDLE,0.00
1785393276.680,0.9947,963.0,1035.3,3,0,IDLE,0.00
1785393277.824,0.9947,960.7,1033.4,3,0,IDLE,0.00
1785393277.915,0.9947,960.7,1033.4,3,0,IDLE,0.00
1785393277.978,0.9947,960.7,1033.4,3,0,IDLE,0.00
1785393279.117,0.9946,965.3,1036.6,3,0,IDLE,0.00
1785393279.239,0.9946,965.3,1036.6,3,0,IDLE,0.00
1785393279.296,0.9946,965.3,1036.6,3,0,IDLE,0.00
1785393280.439,0.9946,965.8,1035.9,3,0,IDLE,0.00
1785393280.546,0.9946,965.8,1035.9,3,0,IDLE,0.00
1785393280.612,0.9946,965.8,1035.9,3,0,IDLE,0.00
1785393281.747,0.9946,965.5,1034.9,3,0,IDLE,0.00
1785393281.859,0.9946,965.5,1034.9,3,0,IDLE,0.00
1785393281.912,0.9946,965.5,1034.9,3,0,IDLE,0.00
1785393283.089,0.9946,964.8,1033.4,4,1,IDLE,0.00
1785393283.198,0.9946,964.8,1033.4,4,1,IDLE,0.00
1785393283.263,0.9946,964.8,1033.4,4,1,IDLE,0.00
1785393284.395,0.9948,960.8,1031.1,3,0,IDLE,0.00
1785393284.507,0.9948,960.8,1031.1,3,0,IDLE,0.00
